species,Synurbic,cites,Type of anth roosting structure,Reference 1,Reference 2,Reference 3,Complete,Reference No,Year(s) of Pub,Comments,
Pipistrellus alaschanicus,1,0,"eaves of houses, bridges",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Pipistrellus angulatus,1,0,buildings,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Pipistrellus anthonyi,NA,0,,,,,yes,NA,NA,Leaving as NA. Few search results. Listed as data deficient. Considered conspecific to P. joffrei,
Pipistrellus arabicus,NA,0,,,,,yes,NA,NA,Leaving as NA. Few search results. Listed as data deficient. Now Hypsugo arabicus. Specimens captured above river.,
Pipistrellus ariel,1,0,ruins of a castle,http://doi.org/10.5281/zenodo.6397752,https://www.researchgate.net/publication/309286782,,yes,"154, 388","2019, 2016",citated paper mentions that they are found near castles. Wilson et al says in ruins,
Pipistrellus cadornae,1,0,old buildling and concrete bridge,https://doi.org/10.1515/mammalia-2020-0029,,,yes,389,2020,,
Pipistrellus ceylonicus,1,2,"old dilapidated buildings, wells, and old temples",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Pipistrellus collinus,0,0,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,tree hollow roosting,
Pipistrellus coromandra,1,3,"cracks in walls, ceilings of houses, tiles of huts",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Pipistrellus crassulus,NA,0,,,,,yes,NA,NA,"Few search results, can only find habitat type (i.e., montane and lowland tropical moist forest and from lowland tropical dry forest) but not structure specifically.",
Pipistrellus deserti,1,0,crevices in buildlings,https://doi.org/10.1515/mammalia-2014-0024,https://doi.org/10.3161/1733-5329(2006)8[543:FREOPK]2.0.CO;2,,yes,"390, 391","2015, 2006",a synonym for P. Kuhlii,
Pipistrellus eisentrauti,NA,0,,,,,yes,NA,NA,"Few search results, can only find habitat type (i.e., ""montane, presumably lowland tropical moist forest, and possibly from tropical dry forest and mangrove forest"") but not structure specifically.",
Pipistrellus endoi,1,0,buildings,http://doi.org/10.5281/zenodo.6397752,"Nowak 1994, pg 195",,yes,"154, 1","2019, 1994",Norwak states that they never roost in houses but IUCN and GBIF says buildings. Perhaps they roost in buildings that aren't houses? Having a hard time pinning buildling type from IUCN.,
Pipistrellus hanaki,1,0,buildings,https://doi.org/10.1016/j.mambio.2018.09.011,,,yes,392,2018,,
Pipistrellus hesperidus,1,3,iron roof,https://doi.org/10.1111/1365-2435.13918,,,yes,86,2022,Narrow cracks in rocks and underneath tree bark,
Pipistrellus imbricatus,0,0,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,banana leaves,
Pipistrellus inexspectatus,NA,0,,,,,yes,NA,NA,"Few search results, can only find habitat type/geographic distribution but not structure specifically.",
Pipistrellus javanicus,1,4,"houses, window of office building",http://doi.org/10.5281/zenodo.6397752,https://lkcnhm.nus.edu.sg/wp-content/uploads/sites/10/app/uploads/2017/04/2009nis323-327.pdf,"Nowak 1994, pg 195",yes,"154, 293, 1","2019, 2009, 1994",,
Pipistrellus joffrei,NA,0,,,,,yes,NA,NA,Few search results none with roosting ecology,
Pipistrellus kitcheneri,NA,0,,,,,yes,NA,NA,"Few search results none with roosting ecology, considered to be data deficient",
Pipistrellus kuhlii,1,38,crevices in buildlings,https://doi.org/10.3161/1733-5329(2006)8[543:FREOPK]2.0.CO;2,,,yes,391,2006,,
Pipistrellus lophurus,NA,0,,,,,yes,NA,NA,"Few search results none with roosting ecology, considered to be data deficient",
Pipistrellus macrotis,1,0,crevice between pillar and pipeline in building,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Pipistrellus maderensis,1,1,"birdboxes, disused buildlings",https://www.researchgate.net/publication/351461778,,,yes,394,2020,,
Pipistrellus minahassae,NA,0,,,,,yes,NA,NA,"Few search results none with roosting ecology, considered to be data deficient",
Pipistrellus murrayi,NA,0,,,,,yes,NA,NA,Foliage and tree roosting bat but listed as extinct,
Pipistrellus musciculus,NA,0,,,,,yes,NA,NA,"Few search results none with roosting ecology, roosting ecology unknown, considered to be data deficient",
Pipistrellus nanulus,1,1,house,https://doi.org/10.3161/15081109ACC2015.17.2.003,https://doi.org/10.1111/aje.12692,,yes,"350, 395","2015, 2019","suspected to be associated with banana plantations, paper also shows netting in buildlings at points of emergence ",
Pipistrellus nathusii,1,23,"buildings , bat boxes, houses, timber claddings,wooden churches",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Pipistrellus papuanus,1,0,buildings,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Pipistrellus paterculus,1,0,roofs of thatched huts,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Pipistrellus permixtus,NA,0,,,,,yes,NA,NA,"Few search results none with roosting ecology, roosting ecology unknown, considered to be data deficient",
Pipistrellus pipistrellus,1,125,"cracks in building, houses, churches",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Pipistrellus pulveratus,1,0,houses,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Pipistrellus pygmaeus,1,26,"roof of houses, attics, crevices in buildings, bat boxes",https://doi.org/10.3161/150811014X687305,http://doi.org/10.5281/zenodo.6397752,,yes,"396, 154","2014, 2019",,
Pipistrellus raceyi,1,0,concrete wall of occupied building,https://doi.org/10.3161/150811006779398564,,,yes,397,2006,,
Pipistrellus rueppellii,1,1,"buildings, board against wall, roost in tent flap",doi:10.6620/ZS.2018.57-60,https://www.africanbats.org/Documents/ABCN/ABCN_21.pdf,http://doi.org/10.5281/zenodo.6397752,yes,"398, 399, 154","2018, 2009, 2019",Synonym of Vansonia reuppelii,
Pipistrellus rusticus,1,1,old buildings,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Pipistrellus savii,1,1,"fissures in buildings, attics, roof gutter, rollet type shutters, abandoned shepherd cabins, tunnels",https://doi.org/10.1007/978-3-319-65038-8_162-1,,,yes,400,2020,,
Pipistrellus stenopterus,1,2,roofs of houses,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Pipistrellus sturdeei,NA,0,,,,,yes,NA,NA,"Leaving as NA, listed as extinct",
Pipistrellus subflavus,1,19,"buildings, mines, abd bridges","Harvey 2011, pg 138",https://doi.org/10.1093/jmammal/gyab080,,yes,"96, 401","2011, 2021",,
Pipistrellus tenuis,1,1,walls and ceilings of buildings,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Pipistrellus vordermanni,NA,0,,,,,yes,NA,NA,"Leaving as NA, roosting ecology unknown and data deficient",
Pipistrellus wattsi,1,0,ceilings of houses,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Pipistrellus westralis,0,0,NA,https://australian.museum/learn/animals/bats/northern-pipistrelle/,,,yes,402,NA,assumed to be tree roosting according to the australia museum,
Platalina genovensium,1,0,"mines, caves, and bridges",http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,,
Platymops setiger,0,0,NA,"Nowak 1994, pg 234",,,yes,1,1994,,
Platyrrhinus albericoi,0,0,NA,https://doi.org/10.31687/SaremNMS22.4.1,,,yes,403,2022,first account of roosting cited in 2021. Identified as fig tree roosting ,
Platyrrhinus angustirostris,1,0,"buildings, bridges, and culverts",https://doi.org/10.2307/3504092,https://doi.org/10.1111/j.1096-3642.2009.00610.x,,yes,"404, 405","1991, 2010",,
Platyrrhinus aurarius,0,0,NA,http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,"categorized as cavity roosting in this study (rocks, crevices and caves)",
Platyrrhinus brachycephalus,0,0,NA,http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,tree and cave roosting,
Platyrrhinus chocoensis,0,0,NA,https://doi.org/10.1111/mam.12114,,,yes,13,2018,this paper categorizes these bats as roosting under fallen trees and under earth bank,
Platyrrhinus dorsalis,0,1,NA,http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,"roosts in limestone clifs and caves, overhanging roots",
Platyrrhinus fusciventris,1,0,"buildings, bridges, and culverts",https://doi.org/10.2307/3504092,https://doi.org/10.1111/j.1096-3642.2009.00610.x,,yes,"404, 405","1991, 2010",,
Platyrrhinus guianensis,NA,0,,,,,yes,NA,NA,"leaving NA, no relevent search results with roosting ecology. Not found on IUCN either.",
Platyrrhinus helleri,1,3,"buildings, bridges, and culverts",https://doi.org/10.2307/3504092,,,yes,404,1991,,
Platyrrhinus infuscus,0,0,NA,http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,cave roosting,
Platyrrhinus ismaeli,0,0,NA,https://dx.doi.org/10.2305/IUCN.UK.2016-2.RLTS.T136232A22002129.en.,,,yes,406,2016,"roosts in tree hollows, caves, and leafy tangles",
Platyrrhinus lineatus,0,19,NA,http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,tree and cave roosting,
Platyrrhinus masu,0,0,NA,https://dx.doi.org/10.2305/IUCN.UK.2015-4.RLTS.T136577A21998517.en,,,yes,407,2015,roosts under leaves,
Platyrrhinus matapalensis,NA,0,,,,,yes,NA,NA,"leave NA, roosting ecology unknown",
Platyrrhinus nigellus,0,0,NA,https://dx.doi.org/10.2305/IUCN.UK.2015-4.RLTS.T136317A22020785.en.,,,yes,408,2015,presumed to roost under palm trees,
Platyrrhinus nitelinea,NA,0,,,,,yes,NA,NA,"leave NA, roosting ecology unknown, considered data deficient",
Platyrrhinus recifinus,0,0,NA,https://doi.org/10.1644/859.1,,,yes,409,2010,"roosts in tree hollows, caves, and leafy tangles",
Platyrrhinus umbratus,0,0,NA,https://doi.org/10.1080/23766808.2018.1494481,https://doi.org/10.1111/mam.12114,,yes,"410, 13","2018, 2018","presumed to roost under palm trees, described as similar to other medium sized bats in the genus and also conspecific of P. nigellus",
Platyrrhinus vittatus,0,0,NA,https://doi.org/10.31687/SaremNMS22.4.1,,,yes,403,2022,"linked paper cites 1955 study with roosting structures ""under earth banks and roost on canyon walls""",
Plecotus auritus,1,57,"attics of churchs and barns, between roof tiles, behind wood cladding, bunkers, mines, and bird or bat boxes",http://doi.org/10.5281/zenodo.6397752,"Nowak 1994, pg 218",,yes,"154, 1","2019, 1994",,
Plecotus austriacus,1,12,"roofs of cathedrals, cellars, churches, old buildings",http://doi.org/10.5281/zenodo.6397752,"Nowak 1994, pg 218",,yes,"154, 1","2019, 1994",,
Plecotus balensis,NA,1,,,,,yes,NA,NA,"leave NA, roosting structures not found only habitat described, data deficient",
Plecotus christii,1,1,remote buildings outside of urban areas,https://www.iucnredlist.org/species/44931/22045680,,,yes,411,2019,,
Plecotus kolombatovici,1,0,bunkers,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Plecotus macrobullaris,1,3,attics of churches,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Plecotus ognevi,1,0,"grotto, buildings, tunnel",https://www.iucnredlist.org/species/136598/21996784,,,yes,412,2019,,
Plecotus sacrimontis,1,0,buildings in Japan,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Plecotus sardus,1,0,buildings,https://doi.org/10.1007/s10531-021-02313-5,,,yes,413,2021,cave roosting,
Plecotus taivanus,0,0,"mines, tunnels, buildings",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,tree holes/hollows,
Plecotus teneriffae,1,1,crevices in abandond buildings,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Plerotes anchietae,0,0,NA,"Norwak 1994, pg 62",,,yes,1,1994,Presumed to roost in foilage,
Promops centralis,0,0,roof tiles,https://doi.org/10.2307/3671536,,,yes,414,1990,"hollow trees, and under palm leaves",
Promops nasutus,1,1,roofs of houses,"Norwak 1994, pg 244",,,yes,1,1994,,
Ptenochirus jagori,0,3,NA,http://doi.org/10.5281/zenodo.6448815,"Nowak 1994, pg 72",,yes,"1, 83","1994, 2019",tree and cave roosting,
Ptenochirus minor,0,0,NA,http://doi.org/10.5281/zenodo.6448815,"Nowak 1994, pg 72",,yes,"1, 83","1994, 2019",cave roosting,
Pteralopex anceps,0,0,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,tree hollow roosting species,
Pteralopex atrata,0,0,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,tree hollow roosting species,
Pteralopex flanneryi,0,0,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,suspected to be tree roosting,
Pteralopex pulchra,0,0,NA,"Nowak 1994, pg 72",,,yes,1,1994,"Based off genus trends, tree and/or cave roosting",
Pteralopex taki,0,0,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,Roosts in tree hollows,
Pteronotus davyi,1,4,"houses, mines, chicken coops, barns",https://doi.org/10.2307/3504116,,,yes,415,1989,,
Pteronotus gymnonotus,0,2,NA,https://doi.org/10.1093/mspecies/seaa003,,,yes,416,2020,cave roosting,
Pteronotus macleayii,0,2,NA,https://doi.org/10.1644/778.1,,,yes,417,2005,cave roosting,
Pteronotus paraguanensis,0,0,NA,http://doi.org/10.5281/zenodo.6419781,,,yes,286,2019,cave roosting,
Pteronotus parnellii,1,144,mines,https://doi.org/10.2307/3503910,https://doi.org/10.2307/1379256,,yes,"418, 419","1983, 1974",,
Pteronotus personatus,1,10,mines,https://doi.org/10.1644/869.1,,,yes,420,2010,,
Pteronotus quadridens,0,7,NA,https://doi.org/10.2307/3504218,,,yes,421,1992,cave roosting,
Pteropus admiralitatum,0,0,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,"Roosts in tree hollows and branches, and overhangs of caves.",
Pteropus aldabrensis,0,0,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,"Roosts in trees, mangrove stands, coconut plams",
Pteropus alecto,0,86,NA,https://doi.org/10.1071/WR97106,,,yes,422,1999,"Tree roosting, mangroves and bamboo",
Pteropus anetianus,0,0,NA,https://apps.dtic.mil/sti/pdfs/ADA322812.pdf#page=128,,,yes,423,1992,tree roosting,
Pteropus argentatus,0,0,NA,https://doi.org/10.1206/3842.1,,,yes,424,2015,Found roosting in Sago palms,
Pteropus aruensis,NA,0,,,,,yes,NA,NA,"Leaving as NA, no relevent results on roosting ecology. Listed as Critcally Endangered (probably extinct)",
Pteropus brunneus,NA,0,,,,,yes,NA,NA,Leaving as NA. Listed as extict. Only one specimen from the 19th century,
Pteropus caniceps,0,0,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,tree hollow roosting,
Pteropus capistratus,0,0,NA,https://dx.doi.org/10.2305/IUCN.UK.2021-3.RLTS.T84891540A22012219.en,,,yes,425,2021,"roosts in foilage, under leaves, and coconut fronds",
Pteropus chrysoproctus,0,0,NA,https://doi.org/10.1206/3842.1,,,yes,424,2015,Found roosting in Sago palms,
Pteropus cognatus,0,0,NA,https://dx.doi.org/10.2305/IUCN.UK.2017-2.RLTS.T136397A22014516.en,,,yes,426,2017,tree roosting,
Pteropus conspicillatus,0,18,NA,https://doi.org/10.1371/journal.pone.0109810,,,yes,427,2014,roosting in dead trees or trees stripped of foilage,
Pteropus dasymallus,0,9,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,roosting on branches of trees,
Pteropus faunulus,0,0,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,roost in areca nut palms,
Pteropus fundatus,0,0,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,roosting in foilage,
Pteropus giganteus,0,62,NA,doi: 10.1111/1365-2664.12212,,,yes,428,2014,tree roosting,
Pteropus gilliardorum,NA,0,,,,,yes,NA,NA,"Leaving as NA, other than thought of as potentially solitary roosting bats, further roosting information unknown",
Pteropus griseus,0,0,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,Roosts in mangrove trees,
Pteropus howensis,0,0,NA,https://dx.doi.org/10.2305/IUCN.UK.2021-1.RLTS.T18728A22080900.en,,,yes,429,2021,tree roosting ,
Pteropus hypomelanus,0,36,NA,https://doi.org/10.2307/0.639.1,http://doi.org/10.5281/zenodo.6448815,,yes,"430, 83","2000, 2019",coconut palm roosting,
Pteropus intermedius,0,0,NA,https://dx.doi.org/10.2305/IUCN.UK.2020-2.RLTS.T136841A22042098.en,,,yes,44,2020,found roosting in trees of urban areas/ may be considered P. giganteus or P. vampyrus. All may be the same synony,
Pteropus keyensis,NA,0,,,,,yes,NA,NA,"Leave as NA, no information on roosting ecology available",
Pteropus livingstonii,0,9,NA,https://doi.org/10.1016/S0006-3207(02)00093-9,,,yes,432,2002,tree roosting species,
Pteropus lombocensis,NA,0,,,,,yes,NA,NA,"leave as NA, no information on roosting ecology available",
Pteropus loochoensis,NA,0,,,,,yes,NA,NA,"leaving as NA, only 3 specimens from over 100 years ago",
Pteropus lylei,0,19,NA,https://www.researchgate.net/profile/Aingorn-Chaiyes/publication/326449413_Assessing_the_distribution_roosting_site_characteristics_and_population_of_Pteropus_lylei_in_Thailand/links/5b4e25b5aca27217ff9e93bc/Assessing-the-distribution-roosting-site-characteristics-and-population-of-Pteropus-lylei-in-Thailand.pdf,http://doi.org/10.5281/zenodo.6448815,,yes,"433, 83","2017, 2019",tree roosting,
Pteropus macrotis,0,1,NA,https://dx.doi.org/10.2305/IUCN.UK.2020-3.RLTS.T18735A22082074.en,,,yes,434,2020,tree roosting,
Pteropus mahaganus,0,0,NA,https://dx.doi.org/10.2305/IUCN.UK.2017-2.RLTS.T18736A22082180.en,,,yes,435,2017,foilage and tree hollow roosting,
Pteropus mariannus,0,3,NA,http://doi.org/10.5281/zenodo.6448815,10.1353/psc.2004.0044,,yes,"83, 436","2019, 2004",tree roosting,
Pteropus melanopogon,0,0,NA,https://doi.org/10.1206/3842.1,,,yes,424,2015,mangrove tree roosting,
Pteropus melanotus,0,2,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,rainforest tree roosting,
Pteropus molossinus,0,0,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,tree roosting,
Pteropus neohibernicus,0,1,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,tree roosting,
Pteropus niger,0,2,NA,https://doi.org/10.1186/s40462-019-0156-6,,,yes,"437, 83","2019, 2019",tree roosting,
Pteropus nitendiensis,0,0,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,tree roosting,
Pteropus ocularis,NA,0,,,,,yes,NA,NA,"Leaving as NA, no relevent results on roosting ecology, IUCN also states roosting ecology is unkown.",
Pteropus ornatus,0,1,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,tree roosting,
Pteropus pelagicus,0,1,NA,https://doi.org/10.3897/zookeys.345.5840,,,yes,438,2013,trees and palm fronds,
Pteropus pelewensis,0,0,NA,https://doi.org/10.1111/j.1469-7998.1997.tb01954.x,,,yes,439,1997,tree roosting,
Pteropus personatus,0,0,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,IUCN states that it is often caugt in shrub understory of clove garden,
Pteropus pilosus,NA,0,,,,,yes,NA,NA,listed as extinct,
Pteropus pohlei,0,0,NA,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T18750A22085786.en,,,yes,340,2016,foilage roosting,
Pteropus poliocephalus,0,67,NA,https://doi.org/10.1007/s00265-006-0167-3,https://doi.org/10.1093/beheco/arab078,,yes,"441, 442","2006, 2021","Tree roosting, branches",
Pteropus pselaphon,0,4,NA,https://doi.org/10.1644/07-MAMM-A-368.1,,,yes,343,2009,tree roosting,
Pteropus pumilus,0,10,NA,https://portals.iucn.org/library/sites/library/files/documents/1992-034.pdf,https://doi.org/10.1007/s10531-004-2931-x,,yes,"444, 445","1992, 2006",tree roosting,
Pteropus rayneri,0,0,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,overhangs of caves and limestone,
Pteropus rennelli,0,0,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,upper branches of canopy trees,
Pteropus rodricensis,0,7,NA,https://doi.org/10.1017/S0030605303000619,,,yes,446,2003,tree roosting,
Pteropus rufus,0,15,NA,https://doi.org/10.1017/S0030605307001883,,,yes,447,2007,tree roosting,
Pteropus samoensis,0,1,NA,https://doi.org/10.2307/0.661.1,,,yes,448,2001,tree roosting,
Pteropus scapulatus,0,23,NA,https://doi.org/10.1111/j.1469-7998.1999.tb00979.x,http://doi.org/10.5281/zenodo.6448815,,yes,449,1999,"tree (mangrove, forest) and bamboo roosting",
Pteropus seychellensis,0,2,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,tree roosting,
Pteropus speciosus,0,0,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,3019,coconut palm roosting,
Pteropus subniger,NA,0,,,,,yes,NA,NA,extinct,
Pteropus temminckii,0,0,NA,https://dx.doi.org/10.2305/IUCN.UK.2016-2.RLTS.T18762A22088270.en,,,yes,450,2016,foilage roosting,
Pteropus tokudae,NA,1,,,,,yes,NA,NA,listed as extinct,
Pteropus tonganus,0,2,NA,https://doi.org/10.2307/3504121,,,yes,451,1997,tree roosting,
Pteropus tuberculatus,0,0,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,tree roosting,
Pteropus ualanus,0,0,NA,https://doi.org/10.1016/j.japb.2020.02.008,,,yes,452,2020,tree roosting,
Pteropus vampyrus,0,53,NA,https://doi.org/10.1644/1545-1410(2000)642<0001:PV>2.0.CO;2,,,yes,431,2000,tree roosting,
Pteropus vetulus,0,0,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,tree hollows and cave entries,
Pteropus voeltzkowi,0,0,NA,https://doi.org/10.1046/j.1365-3008.1997.d01-7.x,http://doi.org/10.5281/zenodo.6448815,,yes,"453, 83","2009, 2019",tree roosting,
Pteropus woodfordi,0,0,NA,https://dx.doi.org/10.2305/IUCN.UK.2017-2.RLTS.T18769A22089578.en,,,yes,454,2017,tree hollows and cavities,
Pteropus yapensis,0,0,NA,https://doi.org/10.1111/j.1469-7998.1997.tb01954.x,,,yes,439,1997,"tree roosting, synoym of P. pelewensis",
Pygoderma bilabiatum,1,1,houses,http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,,
Rhinolophus acuminatus,1,3,"field house, old buildings",https://www.academia.edu/34900986/The_mammals_of_Palawan_Island_Philippines,http://doi.org/10.5281/zenodo.3748525,,yes,"455, 456","2014, 2019",,
Rhinolophus adami,0,0,NA,http://doi.org/10.5281/zenodo.3748525,,,yes,456,2019,cave roosting,
Rhinolophus affinis,0,29,NA,https://doi.org/10.1186/s40555-015-0109-8,http://doi.org/10.5281/zenodo.3748525,,yes,"457, 456","2015, 2019",cave roosting,
Rhinolophus alcyone,1,1,"roofs of thatched houses, old mines",http://doi.org/10.5281/zenodo.3748525,,,yes,456,2019,,
Rhinolophus arcuatus,0,1,NA,DOI 10.1088/1755-1315/886/1/012059,http://doi.org/10.5281/zenodo.3748525,,yes,"458, 456","2021, 2019",caves and rock crevices,
Rhinolophus beddomei,1,1,"old temple, old forts, dilapidated buildlings, unused bungalows, old tunnels",http://doi.org/10.5281/zenodo.3748525,,,yes,456,2019,,
Rhinolophus blasii,1,4,"buildings, mine shafts, underground irrigation ditches",http://doi.org/10.5281/zenodo.3748525,,,yes,456,2019,,
Rhinolophus bocharicus,1,0,mine galleries,http://doi.org/10.5281/zenodo.3748525,,,yes,456,2019,,
Rhinolophus borneensis,0,0,NA,http://doi.org/10.5281/zenodo.3748525,,,yes,456,2019,"roosts in bamboo, tree hollow, banana leaves, rock crevies ",
Rhinolophus canuti,0,0,NA,http://doi.org/10.5281/zenodo.3748525,,,yes,456,2019,cave roosting,
Rhinolophus capensis,1,10,lofts and disused mines,http://doi.org/10.5281/zenodo.3748525,,,yes,456,2019,,
Rhinolophus celebensis,0,0,NA,http://doi.org/10.5281/zenodo.3748525,,,yes,456,2019,cave roosting,
Rhinolophus chaseni,0,0,NA,https://dx.doi.org/10.2305/IUCN.UK.2020-2.RLTS.T19527A21982599.en,,,yes,459,2020,"roosts in bamboo, tree hollow, banana leaves, rock crevies ",
Rhinolophus clivosus,1,7,"disused mines, urban and rural buildings",http://doi.org/10.5281/zenodo.3748525,,,yes,456,2019,,
Rhinolophus coelophyllus,0,0,NA,https://doi.org/10.3161/150811011X578615,,,yes,460,2011,limestone cave roosting,
Rhinolophus cognatus,0,0,NA,https://doi.org/10.1017/S0030605312000646,http://doi.org/10.5281/zenodo.3748525,,yes,"461, 456","2014, 2019",cave and tree hollow roosting,
Rhinolophus cohenae,1,0,abandoned mine shafts/tunells,http://doi.org/10.5281/zenodo.3748525,,,yes,456,2019,,
Rhinolophus convexus,NA,0,,,,,yes,NA,NA,"leaving as NA, data deficient, only two specimines collected, no roosting ecology found.",
Rhinolophus creaghi,0,0,NA,http://doi.org/10.5281/zenodo.3748525,,,yes,456,2019,cave roosting,
Rhinolophus darlingi,1,1,"mines, unused buildings","Skinner and Chimimba 2005, pg 340-341",http://doi.org/10.5281/zenodo.3748525,,yes,"132, 456","2005, 2019",Skinner and Chimimba 2005 at UT library to dig into buildlings,
Rhinolophus deckenii,0,0,mud house,http://doi.org/10.5281/zenodo.3748525,,,yes,456,2019,suspected to be cave roosting,
Rhinolophus denti,1,0,"abandoned mine, culverts, thatched roof",http://doi.org/10.5281/zenodo.3748525,"Skinner and Chimimba 2005, pg 344-354",,yes,"456, 132","2019, 2005",,
Rhinolophus eloquens,1,0,mines,https://dx.doi.org/10.3201/eid1312.071115,,,yes,462,2007,Instances of collections in Goroumbwa Mine for marburg virus studies,
Rhinolophus euryale,1,10,"attics, abandoned mines, railway tunnels, and military bunkers",https://www.nm.cz/admin/files/PM/download/zivotopisy-publikace/uhrin2012vesp_mensi.pdf,http://doi.org/10.5281/zenodo.3748525,,yes,"463, 456","2012, 2019",,
Rhinolophus euryotis,1,0,mine adits and military tunnels,https://dx.doi.org/10.2305/IUCN.UK.2021-3.RLTS.T84372418A209537830.en.,,,yes,464,2021,,
Rhinolophus ferrumequinum,1,139,roofs of buildings,http://doi.org/10.5281/zenodo.3748525,,,yes,456,2019,,
Rhinolophus formosae,1,2,"abandoned tunnels, buildings, underground irrigation channels",http://doi.org/10.5281/zenodo.3748525,,,yes,456,2019,,
Rhinolophus francisi,NA,0,,,,,yes,NA,NA,"leaving as NA, no roosting information found, few results on GS when searching for species name, no IUCN profile",
Rhinolophus fumigatus,1,0,abandoned mine shafts,http://doi.org/10.5281/zenodo.3748525,,,yes,456,2019,cave roosting,
Rhinolophus guineensis,1,0,mine adit,https://doi.org/10.1080/11250003.2013.775367,,,yes,465,2013,,
Rhinolophus hildebrandtii,1,3,"mines, unused buidings, roofs of houses",http://doi.org/10.5281/zenodo.3748525,"Skinner and Chimimba 2005, pg 336-337",,yes,"456, 133","2019, 2005",,
Rhinolophus hilli,0,0,old mining tunnels,https://doi.org/10.3897/BDJ.10.e83546,http://doi.org/10.5281/zenodo.3748525,,yes,466,2022,"batcon website states this bat is suspected to utilize old mines but otherwise thought to roost in caves, cited paper not finding any in roosts of rwanda, suspected to be cave roosting",
Rhinolophus hillorum,1,0,"bridges, culverts",https://hdl.handle.net/11858/00-001M-0000-0028-8D28-0,https://www.iucnredlist.org/species/44782/203829273,,yes,"467, 456","2006, 2019",,
Rhinolophus hipposideros,1,35,"roofs, tunnels, attics, and cellars",http://doi.org/10.5281/zenodo.3748525,,,yes,456,2019,,
Rhinolophus huananus,0,1,NA,https://doi-org.ezproxy.lib.utexas.edu/10.2108/zsj.25.438,,,yes,468,2008,"Cave roosting, IUCN mentions artificial caves but I wasn't able to find clarification.",
